canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,is_inhibitor,data_source,compound_name,activity_type
COc1ccccc1C(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,CHEMBL418010,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,CHEMBL20867,8.00,IC50,nM,10.0,IC50,uM,0.01,1,chembl_active,,
Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL20252,7.30,IC50,nM,50.0,IC50,uM,0.05,1,chembl_active,,
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL20926,7.00,IC50,nM,100.0,IC50,uM,0.1,1,chembl_active,,
O=C(Nc1ccc(Cl)c(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,CHEMBL278630,6.82,IC50,nM,150.0,IC50,uM,0.15,1,chembl_active,,
Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,CHEMBL20867,8.00,IC50,nM,10.0,IC50,uM,0.01,1,chembl_active,,
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL941,7.30,IC50,nM,50.0,IC50,uM,0.05,1,chembl_active,,
Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL21162,8.00,IC50,nM,10.0,IC50,uM,0.01,1,chembl_active,,
Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL20252,7.30,IC50,nM,50.0,IC50,uM,0.05,1,chembl_active,,
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,CHEMBL56669,6.22,IC50,nM,600.0,IC50,uM,0.6,1,chembl_active,,
Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,CHEMBL59036,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,CHEMBL299707,6.00,IC50,nM,1000.0,IC50,uM,1.0,1,chembl_active,,
CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,CHEMBL56904,6.70,IC50,nM,200.0,IC50,uM,0.2,1,chembl_active,,
COc1ccccc1C(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,CHEMBL418010,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL20926,7.00,IC50,nM,100.0,IC50,uM,0.1,1,chembl_active,,
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1,CHEMBL58142,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)NCc4ccc(Br)cc4)CC3)c2cc1OC,CHEMBL138376,6.13,IC50,nM,740.0,IC50,uM l-1,0.74,1,chembl_active,,
COc1cc2ncc(NC3CCCC(C)C3)nc2cc1OC,CHEMBL107677,7.39,IC50,nM,41.0,IC50,uM,0.041,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4cccc(Cl)c4)CC3)c2cc1OC,CHEMBL141745,6.64,IC50,nM,230.0,IC50,uM l-1,0.23,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4cccs4)CC3)c2cc1OC,CHEMBL342247,6.39,IC50,nM,410.0,IC50,uM l-1,0.41,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\c4cccnc4)CC3)c2cc1OC,CHEMBL138982,6.39,IC50,nM,410.0,IC50,uM l-1,0.41,1,chembl_active,,
CN(C)CCOc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL269586,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
O=C(Cc1cccs1)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL7157,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1cccnc1,CHEMBL7495,6.00,IC50,nM,1000.0,IC50,uM,1.0,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4cccnc4)CC3)c2cc1OC.Cl.Cl,CHEMBL542494,6.55,IC50,nM,280.0,IC50,uM l-1,0.28,1,chembl_active,,
COc1cc2ncnc(N3CCCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,CHEMBL345107,6.19,IC50,nM,650.0,IC50,uM l-1,0.65,1,chembl_active,,
COc1cc2ncc(NC3CCC(C(N)=O)CC3)nc2cc1OC,CHEMBL106878,6.03,IC50,nM,930.0,IC50,uM,0.93,1,chembl_active,,
CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL7572,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
COc1cccc(CC(=O)Oc2ccc3[nH]c(C(=O)c4cc5ccccc5[nH]4)cc3c2)c1,CHEMBL7411,6.00,IC50,nM,1000.0,IC50,uM,1.0,1,chembl_active,,
COc1ccc2cc(C(=O)c3cc4ccccc4[nH]3)[nH]c2c1,CHEMBL7602,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
CN(C)CC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL7432,7.00,IC50,nM,100.0,IC50,uM,0.1,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc(Cl)cc4)CC3)c2cc1OC,CHEMBL140972,7.16,IC50,nM,70.0,IC50,uM l-1,0.07,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,CHEMBL140603,6.02,IC50,nM,960.0,IC50,uM l-1,0.9600000000000002,1,chembl_active,,
CCCc1ccc(CNC(=O)N2CCN(c3ncnc4cc(OC)c(OC)cc34)CC2)cc1,CHEMBL435627,6.26,IC50,nM,550.0,IC50,uM l-1,0.55,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)(C)C)cc4)CC3)c2cc1OC,CHEMBL105280,7.52,IC50,nM,30.0,IC50,uM l-1,0.03,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccsc4)CC3)c2cc1OC.Cl,CHEMBL553824,6.25,IC50,nM,560.0,IC50,uM l-1,0.56,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,CHEMBL102301,7.05,IC50,nM,90.0,IC50,uM l-1,0.09,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,CHEMBL102301,6.85,IC50,nM,140.0,IC50,uM l-1,0.14,1,chembl_active,,
O=C(c1cc2ccccc2[nH]1)c1cc2cc(OCCN3CCCCC3)ccc2[nH]1,CHEMBL7593,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(=N\Cc4ccc5c(c4)OCO5)NC#N)CC3)c2cc1OC,CHEMBL140702,6.72,IC50,nM,190.0,IC50,uM l-1,0.19,1,chembl_active,,
O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1ccc2ccccc2n1,CHEMBL414210,6.40,IC50,nM,400.0,IC50,uM,0.4,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,CHEMBL99743,6.16,IC50,nM,700.0,IC50,uM l-1,0.7,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc(C)cc4)CC3)c2cc1OC,CHEMBL342255,7.52,IC50,nM,30.0,IC50,uM l-1,0.03,1,chembl_active,,
COc1cc2ncc(N[C@@H]3CC4CC3C[C@H]4O)nc2cc1OC,CHEMBL105322,7.62,IC50,nM,24.0,IC50,uM,0.024,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)NCC(=O)c4ccc(Br)cc4)CC3)c2cc1OC,CHEMBL343164,6.85,IC50,nM,140.0,IC50,uM l-1,0.14,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\[C@@H](C)c4ccccc4)CC3)c2cc1OC,CHEMBL1788249,6.27,IC50,nM,540.0,IC50,uM l-1,0.54,1,chembl_active,,
COc1cc2ncc(Nc3ccccc3)nc2cc1OC,CHEMBL105364,8.22,IC50,nM,6.0,IC50,uM,0.006,1,chembl_active,,
CC(=O)OC(C(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1ccccc1,CHEMBL7510,6.05,IC50,nM,900.0,IC50,uM,0.9,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccsc4)CC3)c2cc1OC,CHEMBL343521,6.25,IC50,nM,560.0,IC50,uM l-1,0.56,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1OC,CHEMBL319894,6.26,IC50,nM,550.0,IC50,uM l-1,0.55,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\c4ccncc4)CC3)c2cc1OC,CHEMBL342636,6.01,IC50,nM,980.0,IC50,uM l-1,0.9800000000000002,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(=N\Cc4ccc(C)cc4)NC#N)CC3)c2cc1OC,CHEMBL140964,6.47,IC50,nM,340.0,IC50,uM l-1,0.34,1,chembl_active,,
O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1,CHEMBL7735,6.70,IC50,nM,200.0,IC50,uM,0.2,1,chembl_active,,
COc1cc2ncc(NC3CCCCC3)nc2cc1OC,CHEMBL107402,6.91,IC50,nM,124.0,IC50,uM,0.124,1,chembl_active,,
COc1cc2ncc(N[C@H]3CC[C@@H](C(=O)OC)CC3)nc2cc1OC,CHEMBL2111669,7.55,IC50,nM,28.0,IC50,uM,0.028,1,chembl_active,,
COCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL7600,6.70,IC50,nM,200.0,IC50,uM,0.2,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)NCc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,CHEMBL141453,6.42,IC50,nM,380.0,IC50,uM l-1,0.38,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\c4ccc(Cl)cc4)CC3)c2cc1OC,CHEMBL103870,6.10,IC50,nM,790.0,IC50,uM l-1,0.79,1,chembl_active,,
O=C(c1cc2ccccc2[nH]1)c1cc2cc(OC(=O)c3ccco3)ccc2[nH]1,CHEMBL266499,6.22,IC50,nM,600.0,IC50,uM,0.6,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc(C(C)C)cc4)CC3)c2cc1OC,CHEMBL264641,6.70,IC50,nM,200.0,IC50,uM l-1,0.2,1,chembl_active,,
COc1ccc2[nH]c(C(=O)c3cc4ccccc4s3)cc2c1,CHEMBL267721,6.00,IC50,nM,1000.0,IC50,uM,1.0,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)NCc4ccc(C(C)(C)C)cc4)CC3)c2cc1OC,CHEMBL336005,6.96,IC50,nM,110.0,IC50,uM l-1,0.11,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccco4)CC3)c2cc1OC,CHEMBL138566,6.48,IC50,nM,330.0,IC50,uM l-1,0.33,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)C(C)C3)c2cc1OC,CHEMBL343133,7.10,IC50,nM,80.0,IC50,uM l-1,0.08,1,chembl_active,,
COc1cc2ncc(N[C@H]3CC[C@H](C(=O)OC)CC3)nc2cc1OC,CHEMBL2112462,6.46,IC50,nM,345.0,IC50,uM,0.345,1,chembl_active,,
COc1cc2cc(-c3ccsc3)cnc2cc1OC,CHEMBL66643,6.34,IC50,nM,461.0,IC50,uM,0.461,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc(C(C)(C)C)cc4)CC3)c2cc1OC,CHEMBL141461,6.80,IC50,nM,160.0,IC50,uM l-1,0.16,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,CHEMBL102346,7.10,IC50,nM,80.0,IC50,uM l-1,0.08,1,chembl_active,,
COC(=O)C1CCC(Nc2cnc3cc(OC)c(OC)cc3n2)CC1,CHEMBL321276,7.31,IC50,nM,49.0,IC50,uM,0.049,1,chembl_active,,
COc1cc2ncc(N[C@H]3CC[C@@H](O)CC3)nc2cc1OC,CHEMBL104074,7.17,IC50,nM,68.0,IC50,uM,0.068,1,chembl_active,,
O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1ccc([N+](=O)[O-])cc1,CHEMBL451241,6.05,IC50,nM,900.0,IC50,uM,0.9,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4Cl)CC3)c2cc1OC,CHEMBL140715,6.01,IC50,nM,980.0,IC50,uM l-1,0.9800000000000002,1,chembl_active,,
COc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL7296,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,CHEMBL104466,7.12,IC50,nM,76.0,IC50,uM,0.076,1,chembl_active,,
CCC(=O)Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1,CHEMBL7697,6.05,IC50,nM,900.0,IC50,uM,0.9,1,chembl_active,,
COc1cc2ncnc(N3CC(C)N(/C(S)=N\Cc4ccccc4)C(C)C3)c2cc1OC,CHEMBL422293,6.19,IC50,nM,640.0,IC50,uM l-1,0.64,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\c4cncc(Cl)c4)CC3)c2cc1OC,CHEMBL141852,6.26,IC50,nM,550.0,IC50,uM l-1,0.55,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(=N\Cc4ccc(Cl)cc4)NC#N)CC3)c2cc1OC,CHEMBL341602,6.02,IC50,nM,960.0,IC50,uM l-1,0.9600000000000002,1,chembl_active,,
O=C(Oc1ccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc2c1)c1ccccc1,CHEMBL7276,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc(Br)cc4)CC3)c2cc1OC,CHEMBL138523,7.52,IC50,nM,30.0,IC50,uM l-1,0.03,1,chembl_active,,
COc1ccc(C/N=C(/S)N2CCN(c3ncnc4cc(OC)c(OC)cc34)CC2)cc1,CHEMBL141460,7.00,IC50,nM,100.0,IC50,uM l-1,0.1,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,CHEMBL104067,7.10,IC50,nM,80.0,IC50,uM l-1,0.08,1,chembl_active,,
COc1cc2ncc(N[C@@H]3CC[C@H](O)[C@@H](C)C3)nc2cc1OC,CHEMBL104266,7.75,IC50,nM,18.0,IC50,uM,0.018,1,chembl_active,,
Cc1cc2ncc(-c3ccccc3)nc2cc1C,CHEMBL7724,,IC50,nM,0.0,IC50,uM,0.0,1,chembl_active,,
COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC,CHEMBL323336,6.28,IC50,nM,530.0,IC50,uM l-1,0.53,1,chembl_active,,
COc1cc2ncc(NC3CCCCC3)nc2cc1OC,CHEMBL107402,6.91,IC50,nM,124.0,IC50,uM,0.124,1,chembl_active,,
Cc1cc2ncc(Nc3ccccc3)nc2cc1C,CHEMBL108216,6.47,IC50,nM,340.0,IC50,uM,0.34,1,chembl_active,,
COc1cc2ncc(Nc3ccccc3)nc2cc1OC,CHEMBL105364,8.22,IC50,nM,6.0,IC50,uM,0.006,1,chembl_active,,
COc1cc2ncc(O[C@H]3CC4CCC3C4)nc2cc1OC,CHEMBL2112463,7.60,IC50,nM,25.0,IC50,uM,0.025,1,chembl_active,,
COc1cc2ncc(SC3CCCC3)nc2cc1OC,CHEMBL106614,6.65,IC50,nM,226.0,IC50,uM,0.226,1,chembl_active,,
COc1cc2ncc(O[C@@H]3CC4CCC3C4)nc2cc1OC,CHEMBL2111666,6.58,IC50,nM,265.0,IC50,uM,0.265,1,chembl_active,,
COc1cc2ncc(NCc3ccccc3)nc2cc1OC,CHEMBL105066,7.04,IC50,nM,92.0,IC50,uM,0.092,1,chembl_active,,
COc1cc2ncc(NC3CCCC3)nc2cc1OC,CHEMBL104616,6.89,IC50,nM,128.0,IC50,uM,0.128,1,chembl_active,,
COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,CHEMBL104466,7.12,IC50,nM,76.0,IC50,uM,0.076,1,chembl_active,,
COc1cc2ncc(OC3CCCCC3)nc2cc1OC,CHEMBL104477,7.19,IC50,nM,65.0,IC50,uM,0.065,1,chembl_active,,
COc1cc2cc(OC3CCCCC3)cnc2cc1OC,CHEMBL104798,6.22,IC50,nM,601.0,IC50,uM,0.601,1,chembl_active,,
COc1ccc2ncc(Nc3ccccc3)nc2c1,CHEMBL104087,7.38,IC50,nM,42.0,IC50,uM,0.042,1,chembl_active,,
COc1cc2cc(-c3ccsc3)cnc2cc1OC,CHEMBL66643,6.34,IC50,nM,461.0,IC50,uM,0.461,1,chembl_active,,
COc1cc2ncc(NC3CC4CCC3C4)nc2cc1OC,CHEMBL108007,7.70,IC50,nM,20.0,IC50,uM,0.02,1,chembl_active,,
COc1cc2cc(NC3CCCCC3)cnc2cc1OC,CHEMBL104473,7.02,IC50,nM,96.0,IC50,uM,0.096,1,chembl_active,,
COc1cc2ncc(Nc3cccc(Cl)c3)nc2cc1OC,CHEMBL322028,8.40,IC50,nM,4.0,IC50,uM,0.004,1,chembl_active,,
COc1cc2ncc(NC3CCCC(C)C3)nc2cc1OC,CHEMBL107677,7.39,IC50,nM,41.0,IC50,uM,0.041,1,chembl_active,,
COc1cc2ncc(N[C@@H]3CC4CCC3C4)nc2cc1OC,CHEMBL104011,6.06,IC50,nM,879.0,IC50,uM,0.879,1,chembl_active,,
